Word Frequency Analysis Report
==================================================
EPUB File: Harry Potter and the Order of the Phoenix Deluxe Illustrated Slipcase Edition (J. K. Rowling) (Z-Library).epub
Total words: 258,046
Unique words: 13,973

Category Summary:
--------------------
Other: 13,676 unique words
CET-4: 170 unique words
CET-6: 127 unique words

Top 50 Most Frequent Words:
------------------------------
Rank   Word                 Count      Category  
118                       1        times  [Other]
119                       1        times  [Other]
12                        1        times  [Other]
120                       1        times  [Other]
121                       3        times  [Other]
122                       1        times  [Other]
123                       1        times  [Other]
124                       1        times  [Other]
125                       1        times  [Other]
126                       1        times  [Other]
127                       1        times  [Other]
128                       1        times  [Other]
129                       1        times  [Other]
12th                      2        times  [Other]
13                        2        times  [Other]
130                       1        times  [Other]
131                       1        times  [Other]
132                       1        times  [Other]
133                       1        times  [Other]
134                       1        times  [Other]
135                       1        times  [Other]
136                       1        times  [Other]
137                       3        times  [Other]
138                       1        times  [Other]
139                       1        times  [Other]
14                        1        times  [Other]
140                       1        times  [Other]
141                       1        times  [Other]
142                       1        times  [Other]
143                       1        times  [Other]
144                       1        times  [Other]
145                       1        times  [Other]
146                       1        times  [Other]
147                       1        times  [Other]
148                       1        times  [Other]
149                       1        times  [Other]
15                        2        times  [Other]
150                       1        times  [Other]
151                       1        times  [Other]
152                       3        times  [Other]
153                       1        times  [Other]
154                       1        times  [Other]
155                       1        times  [Other]
156                       1        times  [Other]
157                       1        times  [Other]
158                       1        times  [Other]
159                       1        times  [Other]
16                        1        times  [Other]
160                       1        times  [Other]
161                       1        times  [Other]
1612                      1        times  [Other]
162                       1        times  [Other]
163                       1        times  [Other]
164                       1        times  [Other]
165                       1        times  [Other]
166                       1        times  [Other]
167                       1        times  [Other]
168                       1        times  [Other]
169                       1        times  [Other]
1697                      1        times  [Other]
17                        2        times  [Other]
170                       1        times  [Other]
171                       1        times  [Other]
172                       1        times  [Other]
1722                      1        times  [Other]
173                       1        times  [Other]
174                       1        times  [Other]
1741                      1        times  [Other]
1749                      1        times  [Other]
175                       1        times  [Other]
176                       1        times  [Other]
177                       1        times  [Other]
178                       1        times  [Other]
179                       3        times  [Other]
18                        2        times  [Other]
180                       1        times  [Other]
181                       1        times  [Other]
182                       1        times  [Other]
183                       1        times  [Other]
184                       1        times  [Other]
185                       1        times  [Other]
186                       1        times  [Other]
187                       1        times  [Other]
1875                      1        times  [Other]
188                       1        times  [Other]
189                       1        times  [Other]
19                        1        times  [Other]
190                       1        times  [Other]
191                       1        times  [Other]
192                       1        times  [Other]
1920                      1        times  [Other]
193                       1        times  [Other]
194                       1        times  [Other]
195                       1        times  [Other]
196                       1        times  [Other]
197                       1        times  [Other]
198                       1        times  [Other]
1989                      1        times  [Other]
199                       1        times  [Other]
20                        3        times  [Other]
200                       3        times  [Other]
2003                      3        times  [Other]
2003102525                1        times  [Other]
201                       1        times  [Other]
202                       1        times  [Other]
203                       1        times  [Other]
204                       1        times  [Other]
205                       1        times  [Other]
206                       1        times  [Other]
207                       1        times  [Other]
208                       1        times  [Other]
209                       1        times  [Other]
21                        1        times  [Other]
210                       1        times  [Other]
211                       1        times  [Other]
212                       1        times  [Other]
213                       1        times  [Other]
214                       1        times  [Other]
215                       1        times  [Other]
216                       1        times  [Other]
217                       1        times  [Other]
218                       1        times  [Other]
219                       1        times  [Other]
22                        1        times  [Other]
220                       1        times  [Other]
221                       3        times  [Other]
222                       1        times  [Other]
223                       1        times  [Other]
224                       1        times  [Other]
225                       1        times  [Other]
226                       1        times  [Other]
227                       1        times  [Other]
228                       1        times  [Other]
229                       1        times  [Other]
23                        1        times  [Other]
230                       1        times  [Other]
231                       1        times  [Other]
232                       1        times  [Other]
233                       1        times  [Other]
234                       1        times  [Other]
235                       1        times  [Other]
236                       1        times  [Other]
237                       1        times  [Other]
238                       1        times  [Other]
239                       1        times  [Other]
24                        1        times  [Other]
240                       1        times  [Other]
241                       1        times  [Other]
242                       1        times  [Other]
243                       1        times  [Other]
244                       1        times  [Other]
245                       1        times  [Other]
246                       1        times  [Other]
247                       1        times  [Other]
248                       1        times  [Other]
249                       1        times  [Other]
25                        1        times  [Other]
250                       3        times  [Other]
251                       1        times  [Other]
252                       1        times  [Other]
253                       1        times  [Other]
254                       1        times  [Other]
255                       1        times  [Other]
256                       1        times  [Other]
257                       1        times  [Other]
258                       1        times  [Other]
259                       1        times  [Other]
26                        1        times  [Other]
260                       1        times  [Other]
261                       1        times  [Other]
262                       1        times  [Other]
263                       1        times  [Other]
264                       1        times  [Other]
265                       1        times  [Other]
266                       1        times  [Other]
267                       1        times  [Other]
268                       1        times  [Other]
269                       1        times  [Other]
27                        1        times  [Other]
270                       1        times  [Other]
271                       1        times  [Other]
272                       1        times  [Other]
273                       1        times  [Other]
274                       1        times  [Other]
275                       1        times  [Other]
276                       1        times  [Other]
277                       1        times  [Other]
278                       1        times  [Other]
279                       3        times  [Other]
28                        1        times  [Other]
280                       1        times  [Other]
281                       1        times  [Other]
282                       1        times  [Other]
283                       1        times  [Other]
284                       1        times  [Other]
285                       1        times  [Other]
286                       1        times  [Other]
287                       1        times  [Other]
288                       1        times  [Other]
289                       1        times  [Other]
29                        1        times  [Other]
290                       1        times  [Other]
291                       1        times  [Other]
292                       1        times  [Other]
293                       1        times  [Other]
294                       1        times  [Other]
295                       1        times  [Other]
296                       1        times  [Other]
297                       1        times  [Other]
298                       1        times  [Other]
299                       1        times  [Other]
30                        1        times  [Other]
300                       1        times  [Other]
301                       1        times  [Other]
302                       1        times  [Other]
303                       1        times  [Other]
304                       1        times  [Other]
305                       1        times  [Other]
306                       3        times  [Other]
307                       1        times  [Other]
308                       1        times  [Other]
309                       1        times  [Other]
30th                      1        times  [Other]
31                        1        times  [Other]
310                       1        times  [Other]
311                       1        times  [Other]
312                       1        times  [Other]
313                       1        times  [Other]
314                       1        times  [Other]
315                       1        times  [Other]
316                       1        times  [Other]
317                       1        times  [Other]
318                       1        times  [Other]
319                       1        times  [Other]
31st                      1        times  [Other]
32                        1        times  [Other]
320                       1        times  [Other]
321                       1        times  [Other]
322                       1        times  [Other]
323                       1        times  [Other]
324                       1        times  [Other]
325                       1        times  [Other]
326                       1        times  [Other]
327                       1        times  [Other]
328                       1        times  [Other]
329                       1        times  [Other]
33                        1        times  [Other]
330                       3        times  [Other]
331                       1        times  [Other]
332                       1        times  [Other]
333                       1        times  [Other]
334                       1        times  [Other]
335                       1        times  [Other]
336                       1        times  [Other]
337                       1        times  [Other]
338                       1        times  [Other]
339                       1        times  [Other]
34                        1        times  [Other]
340                       1        times  [Other]
341                       1        times  [Other]
342                       1        times  [Other]
343                       1        times  [Other]
344                       1        times  [Other]
345                       1        times  [Other]
346                       1        times  [Other]
347                       1        times  [Other]
348                       1        times  [Other]
349                       1        times  [Other]
35                        1        times  [Other]
350                       3        times  [Other]
351                       1        times  [Other]
352                       1        times  [Other]
353                       1        times  [Other]
354                       1        times  [Other]
355                       1        times  [Other]
356                       1        times  [Other]
357                       1        times  [Other]
358                       1        times  [Other]
35806                     1        times  [Other]
359                       1        times  [Other]
36                        1        times  [Other]
360                       1        times  [Other]
361                       1        times  [Other]
362                       1        times  [Other]
363                       1        times  [Other]
364                       1        times  [Other]
365                       1        times  [Other]
366                       1        times  [Other]
367                       1        times  [Other]
368                       1        times  [Other]
369                       1        times  [Other]
37                        2        times  [Other]
370                       1        times  [Other]
371                       1        times  [Other]
372                       1        times  [Other]
373                       1        times  [Other]
374                       3        times  [Other]
375                       1        times  [Other]
376                       1        times  [Other]
377                       1        times  [Other]
378                       1        times  [Other]
379                       1        times  [Other]
38                        2        times  [Other]
380                       1        times  [Other]
381                       1        times  [Other]
382                       1        times  [Other]
383                       1        times  [Other]
384                       1        times  [Other]
385                       1        times  [Other]
386                       1        times  [Other]
387                       1        times  [Other]
388                       1        times  [Other]
389                       1        times  [Other]
39                        1        times  [Other]
390                       1        times  [Other]
391                       1        times  [Other]
392                       1        times  [Other]
393                       1        times  [Other]
394                       1        times  [Other]
395                       1        times  [Other]
396                       1        times  [Other]
397                       3        times  [Other]
398                       1        times  [Other]
399                       1        times  [Other]
40                        1        times  [Other]
400                       1        times  [Other]
401                       1        times  [Other]
402                       1        times  [Other]
403                       1        times  [Other]
404                       1        times  [Other]
405                       1        times  [Other]
406                       1        times  [Other]
407                       1        times  [Other]
408                       1        times  [Other]
409                       1        times  [Other]
41                        2        times  [Other]
410                       1        times  [Other]
411                       1        times  [Other]
412                       1        times  [Other]
413                       1        times  [Other]
414                       1        times  [Other]
415                       1        times  [Other]
416                       1        times  [Other]
417                       1        times  [Other]
418                       1        times  [Other]
419                       1        times  [Other]
42                        3        times  [Other]
420                       3        times  [Other]
421                       1        times  [Other]
422                       1        times  [Other]
423                       1        times  [Other]
424                       1        times  [Other]
425                       1        times  [Other]
426                       1        times  [Other]
427                       1        times  [Other]
428                       1        times  [Other]
429                       1        times  [Other]
43                        1        times  [Other]
430                       1        times  [Other]
431                       1        times  [Other]
432                       1        times  [Other]
433                       1        times  [Other]
434                       1        times  [Other]
435                       1        times  [Other]
436                       1        times  [Other]
437                       1        times  [Other]
438                       1        times  [Other]
439                       2        times  [Other]
44                        1        times  [Other]
440                       1        times  [Other]
441                       3        times  [Other]
442                       1        times  [Other]
443                       1        times  [Other]
444                       1        times  [Other]
445                       1        times  [Other]
446                       1        times  [Other]
447                       1        times  [Other]
448                       1        times  [Other]
449                       1        times  [Other]
45                        1        times  [Other]
450                       1        times  [Other]
451                       1        times  [Other]
452                       1        times  [Other]
453                       1        times  [Other]
454                       1        times  [Other]
455                       1        times  [Other]
456                       1        times  [Other]
457                       1        times  [Other]
458                       1        times  [Other]
459                       1        times  [Other]
46                        1        times  [Other]
460                       1        times  [Other]
461                       1        times  [Other]
462                       1        times  [Other]
463                       1        times  [Other]
464                       1        times  [Other]
465                       1        times  [Other]
466                       3        times  [Other]
467                       1        times  [Other]
468                       1        times  [Other]
469                       1        times  [Other]
47                        1        times  [Other]
470                       1        times  [Other]
471                       1        times  [Other]
472                       1        times  [Other]
473                       1        times  [Other]
474                       1        times  [Other]
475                       1        times  [Other]
476                       1        times  [Other]
477                       1        times  [Other]
478                       1        times  [Other]
479                       1        times  [Other]
48                        1        times  [Other]
480                       1        times  [Other]
481                       1        times  [Other]
482                       1        times  [Other]
483                       1        times  [Other]
484                       1        times  [Other]
485                       1        times  [Other]
486                       1        times  [Other]
487                       1        times  [Other]
488                       1        times  [Other]
489                       1        times  [Other]
49                        2        times  [Other]
490                       1        times  [Other]
491                       1        times  [Other]
492                       3        times  [Other]
493                       1        times  [Other]
494                       1        times  [Other]
495                       1        times  [Other]
496                       1        times  [Other]
497                       1        times  [Other]
498                       1        times  [Other]
499                       1        times  [Other]
50                        1        times  [Other]
500                       1        times  [Other]
501                       1        times  [Other]
502                       1        times  [Other]
503                       1        times  [Other]
504                       1        times  [Other]
505                       1        times  [Other]
506                       1        times  [Other]
507                       1        times  [Other]
508                       1        times  [Other]
509                       1        times  [Other]
51                        1        times  [Other]
510                       1        times  [Other]
511                       1        times  [Other]
512                       1        times  [Other]
513                       1        times  [Other]
514                       1        times  [Other]
515                       1        times  [Other]
516                       3        times  [Other]
517                       1        times  [Other]
518                       1        times  [Other]
519                       1        times  [Other]
52                        1        times  [Other]
520                       1        times  [Other]
521                       1        times  [Other]
522                       1        times  [Other]
523                       1        times  [Other]
524                       1        times  [Other]
525                       1        times  [Other]
526                       1        times  [Other]
527                       1        times  [Other]
528                       1        times  [Other]
529                       1        times  [Other]
53                        2        times  [Other]
530                       1        times  [Other]
531                       1        times  [Other]
532                       1        times  [Other]
533                       1        times  [Other]
534                       1        times  [Other]
535                       1        times  [Other]
536                       1        times  [Other]
537                       1        times  [Other]
538                       1        times  [Other]
539                       1        times  [Other]
54                        1        times  [Other]
540                       1        times  [Other]
541                       1        times  [Other]
542                       1        times  [Other]
543                       3        times  [Other]
544                       1        times  [Other]
545                       1        times  [Other]
546                       1        times  [Other]
547                       1        times  [Other]
548                       1        times  [Other]
549                       1        times  [Other]
55                        1        times  [Other]
550                       1        times  [Other]
551                       1        times  [Other]
552                       1        times  [Other]
553                       1        times  [Other]
554                       1        times  [Other]
555                       1        times  [Other]
556                       1        times  [Other]
557                       2        times  [Other]
558                       1        times  [Other]
559                       1        times  [Other]
56                        1        times  [Other]
560                       1        times  [Other]
561                       1        times  [Other]
562                       1        times  [Other]
563                       1        times  [Other]
564                       1        times  [Other]
565                       1        times  [Other]
566                       1        times  [Other]
567                       1        times  [Other]
568                       1        times  [Other]
569                       1        times  [Other]
57                        1        times  [Other]
570                       3        times  [Other]
571                       1        times  [Other]
572                       1        times  [Other]
573                       1        times  [Other]
574                       1        times  [Other]
575                       1        times  [Other]
576                       1        times  [Other]
577                       1        times  [Other]
578                       1        times  [Other]
579                       1        times  [Other]
58                        1        times  [Other]
580                       1        times  [Other]
581                       1        times  [Other]
582                       1        times  [Other]
583                       1        times  [Other]
584                       1        times  [Other]
585                       1        times  [Other]
586                       1        times  [Other]
587                       1        times  [Other]
588                       1        times  [Other]
589                       1        times  [Other]
59                        3        times  [Other]
590                       1        times  [Other]
591                       1        times  [Other]
592                       1        times  [Other]
593                       1        times  [Other]
594                       1        times  [Other]
595                       1        times  [Other]
596                       1        times  [Other]
597                       1        times  [Other]
598                       1        times  [Other]
599                       3        times  [Other]
60                        1        times  [Other]
600                       1        times  [Other]
601                       1        times  [Other]
602                       1        times  [Other]
603                       1        times  [Other]
604                       1        times  [Other]
605                       1        times  [Other]
606                       1        times  [Other]
607                       1        times  [Other]
608                       1        times  [Other]
609                       1        times  [Other]
61                        1        times  [Other]
610                       1        times  [Other]
611                       1        times  [Other]
612                       1        times  [Other]
613                       1        times  [Other]
614                       1        times  [Other]
615                       1        times  [Other]
616                       1        times  [Other]
617                       1        times  [Other]
618                       1        times  [Other]
619                       1        times  [Other]
62                        1        times  [Other]
620                       1        times  [Other]
621                       1        times  [Other]
622                       1        times  [Other]
623                       1        times  [Other]
624                       3        times  [Other]
625                       1        times  [Other]
626                       1        times  [Other]
627                       1        times  [Other]
628                       1        times  [Other]
629                       1        times  [Other]
63                        1        times  [Other]
630                       1        times  [Other]
631                       1        times  [Other]
632                       1        times  [Other]
633                       1        times  [Other]
634                       1        times  [Other]
635                       1        times  [Other]
636                       1        times  [Other]
637                       1        times  [Other]
638                       1        times  [Other]
639                       1        times  [Other]
64                        1        times  [Other]
640                       1        times  [Other]
641                       1        times  [Other]
642                       1        times  [Other]
643                       1        times  [Other]
644                       1        times  [Other]
645                       1        times  [Other]
646                       1        times  [Other]
647                       1        times  [Other]
648                       1        times  [Other]
649                       1        times  [Other]
65                        1        times  [Other]
650                       1        times  [Other]
651                       3        times  [Other]
652                       1        times  [Other]
653                       1        times  [Other]
654                       1        times  [Other]
655                       1        times  [Other]
656                       1        times  [Other]
657                       1        times  [Other]
658                       1        times  [Other]
659                       1        times  [Other]
66                        1        times  [Other]
660                       1        times  [Other]
661                       1        times  [Other]
662                       1        times  [Other]
663                       1        times  [Other]
664                       1        times  [Other]
665                       1        times  [Other]
666                       1        times  [Other]
667                       1        times  [Other]
668                       1        times  [Other]
669                       1        times  [Other]
67                        1        times  [Other]
670                       1        times  [Other]
671                       1        times  [Other]
672                       1        times  [Other]
673                       1        times  [Other]
674                       1        times  [Other]
675                       1        times  [Other]
676                       3        times  [Other]
677                       1        times  [Other]
678                       1        times  [Other]
679                       1        times  [Other]
68                        1        times  [Other]
680                       1        times  [Other]
681                       1        times  [Other]
682                       1        times  [Other]
683                       1        times  [Other]
684                       1        times  [Other]
685                       1        times  [Other]
686                       1        times  [Other]
687                       1        times  [Other]
688                       1        times  [Other]
689                       1        times  [Other]
69                        1        times  [Other]
690                       1        times  [Other]
691                       1        times  [Other]
692                       1        times  [Other]
693                       1        times  [Other]
694                       1        times  [Other]
695                       1        times  [Other]
696                       1        times  [Other]
697                       1        times  [Other]
698                       1        times  [Other]
699                       1        times  [Other]
70                        1        times  [Other]
700                       1        times  [Other]
701                       1        times  [Other]
702                       1        times  [Other]
703                       3        times  [Other]
704                       1        times  [Other]
705                       1        times  [Other]
706                       1        times  [Other]
707                       1        times  [Other]
708                       1        times  [Other]
709                       1        times  [Other]
71                        1        times  [Other]
710                       1        times  [Other]
711                       1        times  [Other]
712                       1        times  [Other]
713                       1        times  [Other]
714                       1        times  [Other]
715                       1        times  [Other]
716                       1        times  [Other]
717                       1        times  [Other]
718                       1        times  [Other]
719                       1        times  [Other]
72                        1        times  [Other]
720                       1        times  [Other]
721                       1        times  [Other]
722                       1        times  [Other]
723                       1        times  [Other]
724                       1        times  [Other]
725                       1        times  [Other]
726                       1        times  [Other]
727                       1        times  [Other]
728                       1        times  [Other]
729                       3        times  [Other]
73                        1        times  [Other]
730                       1        times  [Other]
731                       1        times  [Other]
732                       1        times  [Other]
733                       1        times  [Other]
734                       1        times  [Other]
735                       1        times  [Other]
736                       1        times  [Other]
737                       1        times  [Other]
738                       1        times  [Other]
739                       1        times  [Other]
74                        1        times  [Other]
740                       1        times  [Other]
741                       1        times  [Other]
742                       1        times  [Other]
743                       1        times  [Other]
744                       1        times  [Other]
745                       1        times  [Other]
746                       1        times  [Other]
747                       1        times  [Other]
748                       1        times  [Other]
749                       1        times  [Other]
75                        1        times  [Other]
750                       1        times  [Other]
751                       3        times  [Other]
752                       1        times  [Other]
753                       1        times  [Other]
754                       1        times  [Other]
755                       1        times  [Other]
756                       1        times  [Other]
757                       1        times  [Other]
758                       1        times  [Other]
759                       1        times  [Other]
76                        1        times  [Other]
760                       1        times  [Other]
761                       1        times  [Other]
762                       1        times  [Other]
763                       1        times  [Other]
764                       3        times  [Other]
765                       1        times  [Other]
766                       1        times  [Other]
767                       1        times  [Other]
768                       1        times  [Other]
769                       1        times  [Other]
77                        1        times  [Other]
770                       1        times  [Other]
771                       1        times  [Other]
772                       1        times  [Other]
773                       1        times  [Other]
774                       1        times  [Other]
775                       1        times  [Other]
776                       1        times  [Other]
777                       1        times  [Other]
778                       1        times  [Other]
779                       1        times  [Other]
78                        1        times  [Other]
780                       1        times  [Other]
781                       3        times  [Other]
782                       1        times  [Other]
783                       1        times  [Other]
784                       1        times  [Other]
785                       1        times  [Other]
786                       1        times  [Other]
787                       1        times  [Other]
788                       1        times  [Other]
789                       1        times  [Other]
79                        3        times  [Other]
790                       1        times  [Other]
791                       1        times  [Other]
792                       1        times  [Other]
793                       1        times  [Other]
794                       1        times  [Other]
795                       1        times  [Other]
796                       1        times  [Other]
797                       1        times  [Other]
798                       1        times  [Other]
799                       1        times  [Other]
80                        1        times  [Other]
800                       1        times  [Other]
801                       1        times  [Other]
802                       1        times  [Other]
803                       1        times  [Other]
804                       1        times  [Other]
805                       1        times  [Other]
806                       1        times  [Other]
807                       3        times  [Other]
808                       1        times  [Other]
809                       1        times  [Other]
81                        1        times  [Other]
810                       1        times  [Other]
811                       1        times  [Other]
812                       1        times  [Other]
813                       1        times  [Other]
814                       1        times  [Other]
815                       1        times  [Other]
816                       1        times  [Other]
817                       1        times  [Other]
818                       1        times  [Other]
819                       1        times  [Other]
82                        1        times  [Other]
820                       3        times  [Other]
821                       1        times  [Other]
822                       1        times  [Other]
823                       1        times  [Other]
824                       1        times  [Other]
825                       1        times  [Other]
826                       1        times  [Other]
827                       1        times  [Other]
828                       1        times  [Other]
829                       1        times  [Other]
83                        1        times  [Other]
830                       1        times  [Other]
831                       1        times  [Other]
832                       1        times  [Other]
833                       1        times  [Other]
834                       1        times  [Other]
835                       1        times  [Other]
836                       1        times  [Other]
837                       1        times  [Other]
838                       1        times  [Other]
839                       1        times  [Other]
84                        1        times  [Other]
840                       1        times  [Other]
841                       1        times  [Other]
842                       1        times  [Other]
843                       1        times  [Other]
844                       1        times  [Other]
845                       3        times  [Other]
846                       1        times  [Other]
847                       1        times  [Other]
848                       1        times  [Other]
849                       1        times  [Other]
85                        1        times  [Other]
